Depth,Magnitude,INTENSITY,CONTINENT,YEAR.Cat
10,5.5,9,2,2000
10,7.2,9,2,2000
10,5.8,6,2,2010
168.7,5.5,7,2,2010
20,5.9,7,2,1970
10,5.8,7,4,1990
6.4,6,9,4,1990
35,5.5,8,4,2010
10,5.7,7,4,2010
13,7,8,4,2010
10,6,8,4,2010
33,5.5,9,5,1980
33,5.7,9,5,1980
24,7.7,9,5,1980
20,5.5,6,2,1990
10,6.3,5,2,1990
20.6,5.7,8,2,2000
20.8,5.6,7,2,2000
20.8,6.1,6,2,2000
27.7,7.8,9,2,2000
224.6,6.5,7,2,2010
213.5,6.3,8,2,2010
10,5.5,8,2,2010
10,5.5,8,2,2010
10,5.6,6,2,2010
40,7.1,6,6,1980
40,7.1,6,2,1980
33,5.7,6,6,1980
33,5.7,9,2,1980
33,5.6,6,6,1980
33,5.6,5,2,1980
33,5.8,6,6,1980
33,5.8,5,2,1980
48,5.6,6,6,1980
48,5.6,7,2,1980
573.4,6.4,4,2,1990
33,6.1,4,2,1990
100,5.8,7,2,2000
10,5.6,3,2,2000
10,5.7,3,2,2000
21.8,5.6,9,2,2016
30,7.3,8,6,1970
99.9,5.6,6,2,2016
10,5.7,7,2,2016
10,6.9,8,2,2016
12.34,5.6,9,2,2016
30,7.5,8,2,1970
16.9,6.7,6,2,1990
33,6,8,2,1990
35.9,5.8,5,2,1990
33,5.5,6,6,2000
10,5.6,6,6,2000
9.6,6.4,8,6,2000
11.1,5.6,7,2,2010
50,6.7,7,2,1970
50,5.6,4,2,1970
15,6.1,6,2,1980
104.2,7,6,5,1990
10,5.6,8,3,2000
33,5.8,8,3,2000
33,5.5,8,3,2000
10,5.9,7,2,2010
14,5.8,6,2,2016
10,5.8,8,6,2016
20,6.1,8,6,2016
22.56,7.6,8,6,2016
31.69,5.8,6,6,2016
22.5,5.7,6,2,1980
23.5,5.6,6,2,1980
22.5,6.2,6,2,1980
17.2,5.5,6,2,2010
10,6.1,9,2,2010
10,5.8,9,2,2010
19,7.9,9,2,2010
21.7,5.6,9,2,2010
10,5.7,9,2,2010
10,5.7,9,2,2010
10,5.5,9,2,2010
10,5.7,9,2,2016
15,6.3,6,2,2016
13.01,5.5,8,2,2016
15,7.3,6,2,2016
35,6.8,9,2,2016
32.1,7,2,2,1970
27.5,6.3,8,2,1970
35,5.7,6,2,1970
34,6.1,8,5,1980
13,5.5,8,5,1980
45,5.7,8,2,1980
33,5.7,8,2,1980
44,7.7,8,2,1980
82.1,5.6,5,2,1990
5.8,5.8,10,2,1990
247.1,5.5,7,2,1990
35,7.5,6,2,2010
39.3,5.7,6,2,1970
39.3,5.7,6,2,1970
25,5.9,6,4,1990
37,6.6,6,4,1990
37,6.4,6,4,1990
10,5.5,6,4,1990
87.5,5.5,8,2,1990
39.7,5.9,7,2,1990
10,5.7,6,2,1990
10.7,5.6,8,3,2000
16.7,7.7,8,2,2000
33,6.3,8,2,2000
33,5.6,8,2,2000
28.5,6,8,2,2000
206.7,7.1,5,5,2010
35,5.5,7,5,2010
112.85,6.1,5,6,2016
16.37,7.2,8,6,2016
5,7.9,9,2,1980
33,5.6,9,2,1980
33,5.5,7,2,1980
33,6.2,7,2,1990
35,5.6,6,2,2010
35,5.6,7,2,2010
35,5.8,8,2,2010
35,5.8,9,2,2010
35,7.9,7,2,2010
35,7.9,8,2,2010
35,5.9,2,2,2010
35,5.9,7,2,2010
35,5.5,6,2,2010
35,5.5,3,2,2010
34,8.4,9,2,2010
34,8.4,7,2,2010
14,6.4,9,5,2010
10,5.8,8,2,2016
16,5.8,9,2,1990
25.3,6.9,10,6,2000
43.5,5.5,6,6,2000
33,6.5,4,6,2000
102.1,5.5,7,6,2000
33,6,7,6,2000
35,6.5,8,2,1970
45,5.7,8,2,1970
36,5.5,6,2,2000
19.6,6,7,2,2000
34,7,9,2,2000
10,6,7,2,2010
12,6.7,7,2,2016
27,5.6,5,2,2016
2.09,6.2,5,6,2016
9.91,5.7,6,6,2016
13.99,6.1,8,6,2016
10,5.7,7,6,2016
10,5.5,7,6,2016
108.78,5.7,8,6,2016
10.06,5.8,6,6,2016
14.59,5.7,6,6,2016
15.22,7.8,11,6,2016
10,6.5,7,6,2016
33,6.4,7,3,1980
5.6,5.6,8,4,2010
60,7.7,8,4,2010
10,8.1,9,2,2010
10,5.5,6,2,2010
10,6,6,2,2010
10,5.8,6,2,2010
20,6.4,9,4,2016
5,6.3,8,2,1990
33,5.8,8,2,1990
10,5.7,4,2,1990
10,5.7,5,2,1990
