"","Depth","Magnitude","INTENSITY","CONTINENT","YEAR.Cat"
"600",41.6,5.8,9,2,"2016"
"601",41.6,5.8,6,2,"2016"
"602",41.6,5.8,9,2,"2016"
"603",50.8,5.7,9,2,"2016"
"604",50.8,5.7,5,2,"2016"
"605",50.8,5.7,8,2,"2016"
"606",27.6,6,7,2,"2016"
"607",27.6,6,7,2,"2016"
"608",27.6,6,4,2,"2016"
"609",32.3,6.4,7,2,"2016"
"610",32.3,6.4,6,2,"2016"
"611",32.3,6.4,7,2,"2016"
"612",38,5.6,9,2,"2016"
"613",38,5.6,8,2,"2016"
"614",38,5.6,9,2,"2016"
"615",42.7,6.3,6,2,"2016"
"616",42.7,6.3,7,2,"2016"
"617",42.7,6.3,8,2,"2016"
"618",51.7,6.2,8,2,"2016"
"619",51.7,6.2,9,2,"2016"
"620",51.7,6.2,8,2,"2016"
"621",35,5.6,6,2,"2016"
"622",35,5.6,7,2,"2016"
"623",35,5.6,7,2,"2016"
"624",41.8,5.6,7,2,"2016"
"625",41.8,5.6,6,2,"2016"
"626",41.8,5.6,9,2,"2016"
"627",35,5.7,7,2,"2016"
"628",35,5.7,8,2,"2016"
"629",35,5.7,9,2,"2016"
"630",6.8,6.5,9,2,"2016"
"631",6.8,6.5,10,2,"2016"
"632",6.8,6.5,8,2,"2016"
"633",50.7,6.3,6,2,"2016"
"634",50.7,6.3,7,2,"2016"
"635",50.7,6.3,8,2,"2016"
"636",17,6.1,8,2,"2016"
"637",17,6.1,8,2,"2016"
"638",17,6.1,8,2,"2016"
"639",40.6,6.2,9,2,"2016"
"640",40.6,6.2,6,2,"2016"
"641",40.6,6.2,8,2,"2016"
"642",35,5.5,8,2,"2016"
"643",35,5.5,6,2,"2016"
"644",35,5.5,10,2,"2016"
"645",39.2,5.5,7,2,"2016"
"646",39.2,5.5,4,2,"2016"
"647",39.2,5.5,9,2,"2016"
"648",35,5.9,6,2,"2016"
"649",35,5.9,3,2,"2016"
"650",35,5.9,6,2,"2016"
"651",26.5,6,6,2,"2016"
"652",26.5,6,6,2,"2016"
"653",26.5,6,7,2,"2016"
"654",35,5.5,6,2,"2016"
"655",35,5.5,8,2,"2016"
"656",35,5.5,6,2,"2016"
"657",52.4,5.6,9,2,"2016"
"658",52.4,5.6,4,2,"2016"
"659",52.4,5.6,5,2,"2016"
"660",25.8,5.5,6,2,"2016"
"661",25.8,5.5,4,2,"2016"
"662",25.8,5.5,4,2,"2016"
"663",44.9,5.8,9,2,"2016"
"664",44.9,5.8,5,2,"2016"
"665",44.9,5.8,6,2,"2016"
"666",30.6,5.9,9,2,"2016"
"667",30.6,5.9,6,2,"2016"
"668",30.6,5.9,7,2,"2016"
"669",46.2,5.5,6,2,"2016"
"670",46.2,5.5,6,2,"2016"
"671",46.2,5.5,8,2,"2016"
"672",35,5.5,7,2,"2016"
"673",35,5.5,7,2,"2016"
"674",35,5.5,6,2,"2016"
"675",52.8,6,7,2,"2016"
"676",52.8,6,6,2,"2016"
"677",52.8,6,6,2,"2016"
"678",47.2,5.8,6,2,"2016"
"679",47.2,5.8,8,2,"2016"
"680",47.2,5.8,8,2,"2016"
"681",8.1,5.7,8,2,"2016"
"682",8.1,5.7,9,2,"2016"
"683",8.1,5.7,6,2,"2016"
"684",49.3,6.5,5,2,"2016"
"685",49.3,6.5,6,2,"2016"
"686",49.3,6.5,9,2,"2016"
"687",47.5,6,8,2,"2016"
"688",47.5,6,4,2,"2016"
"689",47.5,6,7,2,"2016"
"690",21,6.3,5,2,"2016"
"691",21,6.3,6,2,"2016"
"692",21,6.3,6,2,"2016"
"693",19.7,5.6,8,2,"2016"
"694",19.7,5.6,6,2,"2016"
"695",19.7,5.6,7,2,"2016"
"696",33.3,5.6,10,2,"2016"
"697",33.3,5.6,6,2,"2016"
"698",33.3,5.6,8,2,"2016"
"699",35,5.5,8,2,"2016"
"700",35,5.5,10,2,"2016"
"701",35,5.5,9,2,"2016"
"702",14.2,5.5,8,2,"2016"
"703",10,5.5,7,2,"2016"
"704",33,5.5,8,2,"2000"
"705",15,6.2,6,2,"2000"
"706",18,5.5,7,3,"2010"
"707",18,5.5,6,3,"2010"
"708",15,6.2,8,2,"2016"
"709",10,5.5,7,2,"2016"
"710",10,5.8,7,2,"2016"
"711",17.1,5.5,8,2,"2016"
"712",11,6.6,6,2,"2016"
"713",20.8,5.5,4,2,"2016"
"714",20.8,5.5,6,2,"2016"
"715",20,8.6,5,2,"2016"
"716",20,8.6,7,2,"2016"
"717",10,5.8,6,2,"2016"
"718",10,5.8,10,2,"2016"
"719",25.1,8.2,7,2,"2016"
"720",25.1,8.2,6,2,"2016"
"721",10,5.8,10,2,"2016"
"722",10,5.8,10,2,"2016"
